il,ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,ilce,mahalle,lat,lon,harita,osm_id
Adana,Double Up,cafe,coffee_shop;pastry,,,,,,,,,,36.9988107,35.3255898,"https://www.google.com/maps/search/?api=1&query=36.9988107,35.3255898",node/13510394701
Adana,Doyuyo,restaurant,fried_chicken;chicken,,,,,,,,,,37.0431309,35.3113347,"https://www.google.com/maps/search/?api=1&query=37.0431309,35.3113347",node/13507511165
Adana,Doğal Cafe 01,cafe,,,,,,,,,,,37.0305164,35.3167173,"https://www.google.com/maps/search/?api=1&query=37.0305164,35.3167173",node/7473577319
Adana,Duygu Kafe,cafe,,,,,,,,,,,37.0290133,35.3132315,"https://www.google.com/maps/search/?api=1&query=37.0290133,35.3132315",node/5063773521
Adana,Dönerci İbo,restaurant,kebab,,,,,,,,,,36.9872036,35.3049037,"https://www.google.com/maps/search/?api=1&query=36.9872036,35.3049037",node/5635212266
Adana,Dünya Döner Cafe,fast_food,,,,,,,,,,,37.0496644,35.2607113,"https://www.google.com/maps/search/?api=1&query=37.0496644,35.2607113",node/6854671594
Adana,Dünyam,cafe,,,,,,,,,,,36.5647986,35.3843956,"https://www.google.com/maps/search/?api=1&query=36.5647986,35.3843956",node/10812066954
Adana,Ege Balık Restoran,restaurant,,,,,,,,,,,37.0220803,35.3203259,"https://www.google.com/maps/search/?api=1&query=37.0220803,35.3203259",node/5001008236
Adana,Elit Kebap Salonu,fast_food,kebab,,,,,,,,,,37.0345523,35.2623478,"https://www.google.com/maps/search/?api=1&query=37.0345523,35.2623478",node/6838335100
Adana,Emirgan Sütiş - Park Zirve,restaurant,turkish,,,,,,,,,,37.0573334,35.3031360,"https://www.google.com/maps/search/?api=1&query=37.0573334,35.3031360",node/4303173987
Adana,Erciyes Kebap,restaurant,,,,,,,,,,,36.9879054,35.3197541,"https://www.google.com/maps/search/?api=1&query=36.9879054,35.3197541",node/10310264109
Adana,Ergen Döner,restaurant,turkish;döner;doner,,,,,,,,,,37.0463744,35.2748133,"https://www.google.com/maps/search/?api=1&query=37.0463744,35.2748133",node/11379856420
Adana,Eylül Ocakbaşı,fast_food,kebab,,,,,,,,,,37.0286658,35.3134206,"https://www.google.com/maps/search/?api=1&query=37.0286658,35.3134206",node/7418521034
