mekan,il,tur,website,kaynak,kategori,kalem,fiyat
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,MONO KARE TİRAMİSU,295.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",TAHİNLİ ÇÖREK,120.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,SAN SEBASTİAN CHESECAKE,310.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"HOT-ICE DRINK, İçecekler",Vanilyalı Milkshake,280.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"HOT-ICE DRINK, İçecekler",Çilekli Milkshake,280.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"HOT-ICE DRINK, İçecekler",Çikolatalı Milkshake,280.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ŞEFTALI SARMA,320.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ORMANMEYVELİ NO BAKE CHEESECAKE,315.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,FRAMBUAZLI KAKAOLU RULO SARMA,320.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ÇİKOLATALI ÇİLEKLİ MONO,330.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"EKSTRALAR, Menü",EXTRA KREM ŞANTİ,60.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",TRIO HİNDİSTAN CEVİZİ-YER FISTIĞI TOP,115.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",TRIO CHIA TOHUMU-VİŞNE EZMESİ TOP,115.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,GW MAGNUM KARADUT KRUVASAN,380.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,GW MAGNUM FISTIK KRUVASAN,380.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,GW MAGNUM BEYAZ KRUVASAN,380.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,GW MAGNUM BADEM KRUVASAN,380.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",Fruwy Şeftali,135.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",Fruwy Mango,145.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",Fruwy Elma,135.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",Fruwy Ejder,145.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",Fruwy Çilek,135.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",Fruwy Ananas,145.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"Menü, TATLILAR",GW ELMALI KEK,150.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"Menü, TATLILAR",GW YABAN MERSİNLİ KEK,150.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,GW SADE KRUVASAN,200.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,GW KAŞARLI KRUVASAN,270.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,GW KAHVALTI KRUVASAN,350.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,GW ÇİKOLATALI KRUVASAN,270.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,GW AVOKADO VE DANA JAMBONLU KRUVASAN,350.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BARDAK WAFFLE,270.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,MANTARLI KİŞ,270.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ISPANAKLI KİŞ,270.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,GW MİNİ PEYNİRLİ,70.00
