mekan_id,il,mekan_ad,adres,yazar,lisans,kaynak_bag
way/491583514,42,Mevlâna Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Molavi1.JPG/1280px-Molavi1.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,User:دانقولا,CC0,https://commons.wikimedia.org/wiki/File:Molavi1.JPG
way/823558298,42,Konya Tropikal Kelebek Bahçesi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Konya_Tropical_Butterfly_Garden_6.jpg/1280px-Konya_Tropical_Butterfly_Garden_6.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Satirdan kahraman,CC0,https://commons.wikimedia.org/wiki/File:Konya_Tropical_Butterfly_Garden_6.jpg
relation/5813421,42,Sırçalı Medrese Mezar Anıtları Müzesi,https://upload.wikimedia.org/wikipedia/commons/a/a8/Sirchali_Medrese_1913.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Unknown authorUnknown author,Public domain,https://commons.wikimedia.org/wiki/File:Sirchali_Medrese_1913.png
relation/13763858,42,Mevlâna Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Molavi1.JPG/1280px-Molavi1.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,User:دانقولا,CC0,https://commons.wikimedia.org/wiki/File:Molavi1.JPG
way/729254849,44,Malatya Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/MalatyaMuseum.jpg/1280px-MalatyaMuseum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Klaus-Peter Simon,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:MalatyaMuseum.jpg
way/1049986979,45,Taş Fabrika,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Ta%C5%9F_Fabrika.jpg/1280px-Ta%C5%9F_Fabrika.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Okansoyluturk,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Ta%C5%9F_Fabrika.jpg
relation/18387490,45,Manisa Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Manisa_Museum_01.jpg/1280px-Manisa_Museum_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Koray,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Manisa_Museum_01.jpg
node/11980754538,47,Mardin Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Mardin_P1050137_20080426105032.JPG/1280px-Mardin_P1050137_20080426105032.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Nevit Dilmen,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Mardin_P1050137_20080426105032.JPG
node/4942649709,48,Zeki Müren Sanat Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Zeki_M%C3%BCren_Sanat_M%C3%BCzesi_04.jpg/1280px-Zeki_M%C3%BCren_Sanat_M%C3%BCzesi_04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Gargarapalvin,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Zeki_M%C3%BCren_Sanat_M%C3%BCzesi_04.jpg
way/600905942,48,Milas Müzesi,https://upload.wikimedia.org/wikipedia/commons/d/d8/Milasmus.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Original uploader was Hibou at de.wikipedia,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Milasmus.jpg
