mekan,il,website,tur,kaynak_url,kalem_sayisi,not
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Mabel Engelesiz Cafe,,https://www.mamak.bel.tr,pdf-ocr-gerekli,https://wpimages.mamak.bel.tr/2025/01/Hayvan-Sahiplenme-Son-1.pdf,0,
Sultan Restoran,,http://kafemud.bilkent.edu.tr,menu bulunamadi,,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Tarihi İnegöl Köftecisi Nevzat Usta,,https://www.nevzatusta.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.nevzatu
Süha  Döner & Köfteci,,https://restaurantguru.com,menu bulunamadi,,0,
Tavacı Recep Usta Parkvadi,,https://www.recepustaparkvadi.com,menu bulunamadi,,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Tarabya Balık Çayyolu,,https://www.tarabyabalikcisi.com,menu bulunamadi,,0,
This Town's Last Stop,,http://www.thistownslaststop.net,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.thistown
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
The York Pub and Bar,,https://www.instagram.com,menu bulunamadi,,0,
Tavacı Recep Usta Ümitköy Şubesi,,https://tavacirecepusta.com.tr,pdf-ocr-gerekli,https://tavacirecepusta.com.tr/wp-content/uploads/2026/02/sertifika_compressed-1.pdf,0,
Yöresel Türk Mutfağı,,https://yoreselturkmitfagi.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://yoreselturk
Wedding in Anka,,https://weddinginankara.com,menu bulunamadi,,0,
Vinni the Vegan Witch,,https://www.instagram.com,menu bulunamadi,,0,
Tetra N Roastery,,https://tetranroastery.com,menu bulunamadi,,0,
Urumchi Uyghur Restaurant,,https://www.instagram.com,menu bulunamadi,,0,
Yelken Balık,,https://yelkenbalik.com.tr,menu bulunamadi,,0,
Acıktım Köfte Kalkan,,http://www.kalkandayaztatili.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.kalkanda
Çiçek Lokantası,,https://ciceklokantasi.com.tr,menu bulunamadi,,0,
Adalya,,https://www.cocoline.com.tr,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.cocolin
Çadır Kafe,,https://cadirkafeankara.menudgtl.com,gorsel-ocr-gerekli,https://cadirkafeankara.menudgtl.com/uploads/menus/43/categories/1784665907726_category-553.jpg,0,
36 Konukzade Restaurant Pansiyon,,http://www.36konukzade.com,menu bulunamadi,,0,
Adanali Kemal Usta,,http://adanalikemalusta.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at http://adanalikemal
Ada Kafe & Ev yemekleri,,https://www.yemeksepeti.com,menu bulunamadi,,0,
Alexandretta Restaurant,,https://AlexandrettaRestaurant.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://alexandrett
Adem'in Yeri,,https://www.adrasanademinyeri.com,menu bulunamadi,,0,
% Arabica,,http://www.arabicacoffee.com.tr,menu bulunamadi,,0,
Al-Fakher Turkish Delight,,https://www.alfakher.com.tr,menu bulunamadi,,0,
Alanya City Pizza,,https://www.alanyacitypizza.com,menu bulunamadi,,0,
Antalya Anadolu Restaurant,,https://anadolupark.com.tr,menu bulunamadi,,0,
Aphrodite Restaurant & Lounge,,http://www.aphroditeside.com,menu bulunamadi,,0,
Çiğköftesim,,https://www.cigkoftesim.com,menu bulunamadi,,0,
Bean of Coffee,,http://mahmutlarlife.ru,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at http://mahmutlarlif
Asmani Restaurant,,https://www.asmanirestaurant.com,gorsel-ocr-gerekli,https://www.asmanirestaurant.com/media/ad0lhhv1/asmani-restoran-menu-card.jpg,0,
Ayar Meyhanesi,,https://ayarmeyhanesi.com,menu bulunamadi,,0,
Antalya Balikevi,,https://antalyabalikevi.com.tr,menu bulunamadi,,0,
"bi lokma ""Mama's Kitchen""",,https://www.bilokma.com.tr,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.bilokma
Bidana Döner,,https://www.bidanadoner.com.tr,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.bidanad
Bisküvi Mutfak Kahve Evi,,https://biskuvimutfak.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://biskuvimutf
Arby's,,https://www.arbys.com.tr,menu bulunamadi,,0,
Bodamya Tepe,,http://bodamyatepe.com,menu bulunamadi,,0,
Belforno Restaurant,,https://belmondosuites.com,pdf-menu-degil,https://belmondosuites.com/certificates/belmondo-suites-2-sustainability.pdf,0,
Bombay Masala,,https://bombaymasalaantalya.com,menu bulunamadi,,0,
Bonjour Lounge,,https://www.instagram.com,menu bulunamadi,,0,
Bunbun Kaş,,https://www.bunbunkasmenu.com,menu bulunamadi,,0,
Base,,https://basebungalows.com,erisilemedi,,0,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigatin"
BigChefs,,https://www.bigchefs.com.tr,pdf-menu-degil,https://bigchefs.com.tr/wp-content/uploads/2025/12/bigcehssurrapor.pdf,0,
Bereket Döner,,https://bereketdoner.com.tr,pdf-ocr-gerekli,https://www.bereketdoner.com.tr/wp-content/uploads/2026/07/ALERJENSIZ-AVM-1.pdf,0,
Bragi,,https://bragi.com.tr,menu bulunamadi,,0,
CANIM KEBAP,,https://canim-kebap.eatbu.com,menu bulunamadi,,0,
Charms Coffee,,https://charmscoffee.com,erisilemedi,,0,Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://char
